depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
1,0.6587409982617333,0.629843109495857,0.5447619047619048,0.8179557324048744,0.4083685125403526,True,enhancer_classification_seeds,42
1,0.48226950354609927,0.8407966536145053,0.5165562913907285,0.9512195121951219,0.35454545454545455,False,enhancer_classification_seeds,42
2,0.7443506332257264,0.734100533327203,0.7058151164452064,0.8310901749663526,0.6133598212068537,True,enhancer_classification_seeds,42
2,0.6950354609929078,0.9071132168021454,0.7650273224043715,0.958904109589041,0.6363636363636364,False,enhancer_classification_seeds,42
3,0.7654581574372983,0.7773334212612231,0.7320567375886525,0.8536222295732716,0.6407996026818972,True,enhancer_classification_seeds,42
3,0.7588652482269503,0.9227764798437191,0.8210526315789474,0.975,0.7090909090909091,False,enhancer_classification_seeds,42
4,0.7687484479761609,0.8192426461531825,0.7631160572337043,0.7821666014861165,0.7449714427613608,True,enhancer_classification_seeds,42
4,0.7163120567375887,0.9237080554648108,0.7927461139896373,0.9216867469879518,0.6954545454545454,False,enhancer_classification_seeds,42
5,0.7838962006456419,0.8411896516052925,0.7622430161874189,0.8471231212995294,0.6928234417680655,True,enhancer_classification_seeds,42
5,0.7163120567375887,0.9258862591908643,0.7872340425531915,0.9487179487179487,0.6727272727272727,False,enhancer_classification_seeds,42
6,0.7889868388378446,0.8598007491336301,0.7752132795450036,0.8293476722796095,0.7277129376707226,True,enhancer_classification_seeds,42
6,0.7127659574468085,0.9431605346355253,0.7851458885941645,0.9426751592356688,0.6727272727272727,False,enhancer_classification_seeds,42
1,0.6792277129376707,0.6366957861550097,0.6186434423204664,0.7626933575978162,0.5203625527688105,True,enhancer_classification_seeds,43
1,0.5567375886524822,0.8553333092307043,0.617737003058104,0.9439252336448598,0.4590909090909091,False,enhancer_classification_seeds,43
2,0.7369009187981127,0.7554240199001414,0.6701945525291829,0.8978315262718932,0.5346411720884032,True,enhancer_classification_seeds,43
2,0.6808510638297872,0.904529561259412,0.7513812154696132,0.9577464788732394,0.6181818181818182,False,enhancer_classification_seeds,43
3,0.7630990812018873,0.8047452362782095,0.7441673370876911,0.8088020985135529,0.6890985845542588,True,enhancer_classification_seeds,43
3,0.7872340425531915,0.9365756048002987,0.8477157360406091,0.9597701149425287,0.759090909090909,False,enhancer_classification_seeds,43
4,0.7824062577601192,0.8356654818376014,0.7726830533757053,0.8088255261371351,0.7396324807549044,True,enhancer_classification_seeds,43
4,0.8368794326241135,0.9518897612306398,0.8872549019607843,0.9627659574468085,0.8227272727272728,False,enhancer_classification_seeds,43
5,0.789048919791408,0.8624716873790321,0.7758870861363936,0.8275182892515476,0.7303203377203874,True,enhancer_classification_seeds,43
5,0.8156028368794326,0.9639327465775104,0.87,0.9666666666666667,0.7909090909090909,False,enhancer_classification_seeds,43
6,0.7905388626769307,0.8735560862475009,0.7809375405791456,0.8184540010887317,0.7467097094611373,True,enhancer_classification_seeds,43
6,0.8368794326241135,0.9644661580037307,0.8866995073891626,0.967741935483871,0.8181818181818182,False,enhancer_classification_seeds,43
1,0.6895952321827663,0.6524004651847146,0.617737003058104,0.8038201352964585,0.5016141047926496,True,enhancer_classification_seeds,44
1,0.5425531914893617,0.8397171833342046,0.6102719033232629,0.9099099099099099,0.4590909090909091,False,enhancer_classification_seeds,44
2,0.7498758380928731,0.7444792360754685,0.7225015496935051,0.811291569992266,0.6512292028805562,True,enhancer_classification_seeds,44
2,0.6843971631205674,0.8946010470849031,0.7613941018766756,0.9281045751633987,0.6454545454545455,False,enhancer_classification_seeds,44
3,0.7662031288800596,0.8015545794239288,0.766464095249907,0.765609514370664,0.7673205860442016,True,enhancer_classification_seeds,44
3,0.8049645390070922,0.934477730174028,0.8661800486618005,0.9319371727748691,0.8090909090909091,False,enhancer_classification_seeds,44
4,0.7823441768065558,0.8340509082420025,0.7784098091265327,0.7927394438722966,0.76458902408741,True,enhancer_classification_seeds,44
4,0.8049645390070922,0.9380018057221484,0.8628428927680798,0.9558011049723757,0.7863636363636364,False,enhancer_classification_seeds,44
