Seed,Method,Depth,Set,Accuracy
44,OC1,8,Train,0.9785714285714285
44,OC1,8,Test,0.5066666666666667
44,OC1,9,Train,0.9957142857142857
44,OC1,9,Test,0.5233333333333333
44,OC1,10,Train,0.9971428571428571
44,OC1,10,Test,0.5016666666666667
44,OC1,11,Train,0.9992857142857143
44,OC1,11,Test,0.47833333333333333
44,OC1,12,Train,1.0
44,OC1,12,Test,0.505
44,OC1,13,Train,1.0
44,OC1,13,Test,0.505
44,OC1,14,Train,1.0
44,OC1,14,Test,0.505
45,CART,1,Train,0.5378571428571428
45,CART,1,Test,0.49833333333333335
45,CART,2,Train,0.57
45,CART,2,Test,0.5216666666666666
45,CART,3,Train,0.59
45,CART,3,Test,0.52
45,CART,4,Train,0.635
45,CART,4,Test,0.5016666666666667
45,CART,5,Train,0.6664285714285715
45,CART,5,Test,0.5183333333333333
45,CART,6,Train,0.7128571428571429
45,CART,6,Test,0.515
45,CART,7,Train,0.7942857142857143
45,CART,7,Test,0.5166666666666667
45,CART,8,Train,0.8414285714285714
45,CART,8,Test,0.51
45,CART,9,Train,0.9
45,CART,9,Test,0.4866666666666667
45,CART,10,Train,0.9378571428571428
45,CART,10,Test,0.5
45,CART,11,Train,0.9685714285714285
45,CART,11,Test,0.495
45,CART,12,Train,0.9828571428571429
45,CART,12,Test,0.5066666666666667
45,CART,13,Train,0.9935714285714285
45,CART,13,Test,0.47333333333333333
45,CART,14,Train,0.9985714285714286
45,CART,14,Test,0.49
45,OC1,1,Train,0.5735714285714286
45,OC1,1,Test,0.5016666666666667
45,OC1,2,Train,0.635
45,OC1,2,Test,0.5283333333333333
45,OC1,3,Train,0.6785714285714286
45,OC1,3,Test,0.5116666666666667
45,OC1,4,Train,0.7685714285714286
45,OC1,4,Test,0.515
45,OC1,5,Train,0.8007142857142857
45,OC1,5,Test,0.515
45,OC1,6,Train,0.8521428571428571
45,OC1,6,Test,0.5183333333333333
45,OC1,7,Train,0.8835714285714286
45,OC1,7,Test,0.49666666666666665
45,OC1,8,Train,0.915
45,OC1,8,Test,0.53
45,OC1,9,Train,0.9428571428571428
45,OC1,9,Test,0.5666666666666667
45,OC1,10,Train,0.9835714285714285
45,OC1,10,Test,0.495
45,OC1,11,Train,0.9964285714285714
45,OC1,11,Test,0.5183333333333333
45,OC1,12,Train,0.9985714285714286
45,OC1,12,Test,0.5216666666666666
45,OC1,13,Train,1.0
45,OC1,13,Test,0.5316666666666666
45,OC1,14,Train,1.0
45,OC1,14,Test,0.5316666666666666
46,CART,1,Train,0.5378571428571428
46,CART,1,Test,0.485
46,CART,2,Train,0.5607142857142857
46,CART,2,Test,0.48
46,CART,3,Train,0.59
46,CART,3,Test,0.5066666666666667
46,CART,4,Train,0.6314285714285715
46,CART,4,Test,0.4716666666666667
46,CART,5,Train,0.6735714285714286
46,CART,5,Test,0.49666666666666665
46,CART,6,Train,0.7242857142857143
46,CART,6,Test,0.51
46,CART,7,Train,0.7842857142857143
46,CART,7,Test,0.53
46,CART,8,Train,0.8428571428571429
46,CART,8,Test,0.53
46,CART,9,Train,0.9007142857142857
46,CART,9,Test,0.55
46,CART,10,Train,0.94
46,CART,10,Test,0.5033333333333333
46,CART,11,Train,0.9685714285714285
46,CART,11,Test,0.5133333333333333
46,CART,12,Train,0.9864285714285714
46,CART,12,Test,0.51
46,CART,13,Train,0.9978571428571429
46,CART,13,Test,0.5183333333333333
46,CART,14,Train,1.0
46,CART,14,Test,0.515
46,OC1,1,Train,0.5707142857142857
46,OC1,1,Test,0.47833333333333333
46,OC1,2,Train,0.6242857142857143
46,OC1,2,Test,0.49166666666666664
46,OC1,3,Train,0.675
46,OC1,3,Test,0.54
46,OC1,4,Train,0.7271428571428571
46,OC1,4,Test,0.5016666666666667
46,OC1,5,Train,0.8064285714285714
46,OC1,5,Test,0.49833333333333335
46,OC1,6,Train,0.8664285714285714
46,OC1,6,Test,0.505
46,OC1,7,Train,0.91
46,OC1,7,Test,0.51
46,OC1,8,Train,0.9428571428571428
46,OC1,8,Test,0.5
46,OC1,9,Train,0.9714285714285714
46,OC1,9,Test,0.49166666666666664
46,OC1,10,Train,0.9871428571428571
46,OC1,10,Test,0.5
46,OC1,11,Train,0.9942857142857143
46,OC1,11,Test,0.485
46,OC1,12,Train,0.9985714285714286
46,OC1,12,Test,0.525
46,OC1,13,Train,0.9992857142857143
46,OC1,13,Test,0.5
46,OC1,14,Train,1.0
46,OC1,14,Test,0.49833333333333335
