dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,oc1,identity,44,max_depth,6.0,20,1.0,test,0.7814921408014168,0.8123574144486692,0.7623550401427297,0.8693794506612411,0.8509578595078799
promoters,oc1,identity,45,max_depth,1.0,20,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,oc1,identity,45,max_depth,1.0,20,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,oc1,identity,45,max_depth,2.0,20,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,oc1,identity,45,max_depth,2.0,20,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,oc1,identity,45,max_depth,3.0,20,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.7818342741211726
promoters,oc1,identity,45,max_depth,3.0,20,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7798989252623334
promoters,oc1,identity,45,max_depth,4.0,20,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8107091385530274
promoters,oc1,identity,45,max_depth,4.0,20,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8110779848946688
promoters,oc1,identity,45,max_depth,5.0,20,1.0,train,0.7829279994095287,0.8059514383742412,0.7845215157353885,0.828584995251662,0.8450176585869029
promoters,oc1,identity,45,max_depth,5.0,20,1.0,test,0.7799424396723489,0.8032462391132225,0.7820389285026017,0.8256358087487283,0.8338964543196381
promoters,oc1,identity,45,max_depth,6.0,20,1.0,train,0.7828541905007934,0.8094065820160663,0.7745815251084935,0.8475105141771808,0.8593184254593256
promoters,oc1,identity,45,max_depth,6.0,20,1.0,test,0.7791675891078149,0.8058394160583942,0.7723880597014925,0.8423194303153612,0.8519222283812939
promoters,oc1,identity,46,max_depth,1.0,20,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,oc1,identity,46,max_depth,1.0,20,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,oc1,identity,46,max_depth,2.0,20,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,oc1,identity,46,max_depth,2.0,20,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,oc1,identity,46,max_depth,3.0,20,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.7818666283667793
promoters,oc1,identity,46,max_depth,3.0,20,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7798300741447676
promoters,oc1,identity,46,max_depth,4.0,20,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8130569425838298
promoters,oc1,identity,46,max_depth,4.0,20,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8100972065530626
promoters,oc1,identity,46,max_depth,5.0,20,1.0,train,0.7832601394988375,0.810859553637564,0.7719050830829604,0.8539546872880206,0.8445666699555323
promoters,oc1,identity,46,max_depth,5.0,20,1.0,test,0.7834846136816471,0.8109414266383144,0.7724176026514454,0.8535096642929807,0.8354098490873662
promoters,oc1,identity,46,max_depth,6.0,20,1.0,train,0.7859910691220431,0.8122875732366556,0.7768559222339174,0.8511056844390178,0.8607366139232544
promoters,oc1,identity,46,max_depth,6.0,20,1.0,test,0.7789462032322337,0.8053795926322971,0.7729143284698841,0.8406917599186164,0.8474562616617172
