accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.8622041795451401,0.8647988050513737,0.9274757281553399,0.8100568133638599,0.9552236936852572,True,train,LitTransformer_promoters,42
0.8341819791897277,0.8379489398528776,0.8946638946638946,0.7879959308240081,0.9346202271523315,False,test,LitTransformer_promoters,42
0.846058033860774,0.8502983266789287,0.9027433796913698,0.8036123123887051,0.9449115837796169,True,train,LitTransformer_promoters,43
0.8319681204339163,0.8375775732933876,0.8833220491988264,0.7963377416073245,0.9323957674713115,False,test,LitTransformer_promoters,43
0.8678322646122618,0.8782974385115331,0.8799795709908069,0.8766217247519715,0.9561960975851872,True,train,LitTransformer_promoters,44
0.8408235554571618,0.8542469085749037,0.8511411835992728,0.8573753814852493,0.9378431635236362,False,test,LitTransformer_promoters,44
0.8498408451353969,0.8549788371574961,0.9007698084866692,0.8136182481132875,0.945012694237525,True,train,LitTransformer_promoters,45
0.8280938676112464,0.8349452651716441,0.8740542946150422,0.7991861648016276,0.9251451941035522,False,test,LitTransformer_promoters,45
0.8788116436776306,0.8886911571543579,0.8881266937669376,0.8892563385058934,0.9626274960196641,True,train,LitTransformer_promoters,46
0.841819791897277,0.8560781548997884,0.8476266453928999,0.8646998982706002,0.9370849005399031,False,test,LitTransformer_promoters,46
