accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.8894680998293122,0.8976680618433416,0.9043111608295328,0.8911218519460697,0.9647863864269397,True,train,LitConvolutionalNetwork_promoters,42
0.8319681204339163,0.845606183889341,0.8454342078503152,0.8457782299084435,0.9337554613324273,False,test,LitConvolutionalNetwork_promoters,42
0.8954191078101214,0.904927657789893,0.8952041154995022,0.9148647502755872,0.9730228871524191,True,train,LitConvolutionalNetwork_promoters,43
0.8200132831525349,0.8369434416365824,0.8251928020565553,0.8490335707019329,0.9315044320113062,False,test,LitConvolutionalNetwork_promoters,43
0.8891913087604373,0.89090743936779,0.9592176039119804,0.8316798100568134,0.9679129535236766,True,train,LitConvolutionalNetwork_promoters,44
0.8285366393624087,0.8311716621253405,0.8950704225352113,0.7757884028484232,0.930474389029225,False,test,LitConvolutionalNetwork_promoters,44
0.9117497808737371,0.9152151752869743,0.9586815227483751,0.8755193759009582,0.9762342591393212,True,train,LitConvolutionalNetwork_promoters,45
0.8317467345583351,0.838504037399065,0.8774738714698688,0.8028484231943032,0.9297776688791297,False,test,LitConvolutionalNetwork_promoters,45
0.8871615075886885,0.892719298245614,0.9245934405378395,0.862969558212499,0.9646248724194653,True,train,LitConvolutionalNetwork_promoters,46
0.8263227806065973,0.8352063858838358,0.8632218844984803,0.8089521871820956,0.9288433533831248,False,test,LitConvolutionalNetwork_promoters,46
