dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,cart,kmer_count,43,max_depth,1.0,2,1.0,train,0.72475,0.6785401459854015,0.8500365764447696,0.564625850340136,0.703952624795346
polymerase,cart,kmer_count,43,max_depth,1.0,2,1.0,test,0.71935967983992,0.6678507992895204,0.8162083936324168,0.5651302605210421,0.6783726164100876
polymerase,cart,kmer_count,43,max_depth,2.0,2,1.0,train,0.7385,0.7778249787595582,0.6909433962264151,0.8896987366375122,0.7982181046875245
polymerase,cart,kmer_count,43,max_depth,2.0,2,1.0,test,0.7258629314657329,0.7641996557659209,0.669683257918552,0.8897795591182365,0.7794674420923511
polymerase,cart,kmer_count,43,max_depth,3.0,2,1.0,train,0.7675,0.7527910685805422,0.8309859154929577,0.6880466472303207,0.8414270079563871
polymerase,cart,kmer_count,43,max_depth,3.0,2,1.0,test,0.7558779389694847,0.7395944503735326,0.791095890410959,0.6943887775551102,0.8222312880829414
polymerase,cart,kmer_count,43,max_depth,4.0,2,1.0,train,0.775,0.7773379515091539,0.7918346774193549,0.7633624878522838,0.8616645244718697
polymerase,cart,kmer_count,43,max_depth,4.0,2,1.0,test,0.7498749374687343,0.749498997995992,0.749498997995992,0.749498997995992,0.8298187850601485
polymerase,cart,kmer_count,43,max_depth,5.0,2,1.0,train,0.78825,0.7881970492623156,0.8119526017516744,0.7657920310981535,0.8759775009921174
polymerase,cart,kmer_count,43,max_depth,5.0,2,1.0,test,0.7498749374687343,0.7484909456740443,0.7515151515151515,0.7454909819639278,0.8312983574530182
polymerase,cart,kmer_count,43,max_depth,6.0,2,1.0,train,0.789,0.7916049382716049,0.804718875502008,0.7789115646258503,0.8867617941817535
polymerase,cart,kmer_count,43,max_depth,6.0,2,1.0,test,0.7503751875937968,0.7513702042850025,0.7472745292368682,0.7555110220440882,0.8310844692857625
polymerase,cart,kmer_count,44,max_depth,1.0,2,1.0,train,0.71125,0.629451395572666,0.9016544117647058,0.4834894036471168,0.6979403538399096
polymerase,cart,kmer_count,44,max_depth,1.0,2,1.0,test,0.711855927963982,0.6317135549872123,0.872791519434629,0.49498997995991983,0.6841491197456508
polymerase,cart,kmer_count,44,max_depth,2.0,2,1.0,train,0.76225,0.7814295564238106,0.7321274763135228,0.8378511582060129,0.7919288929116397
polymerase,cart,kmer_count,44,max_depth,2.0,2,1.0,test,0.7403701850925463,0.7580419580419581,0.7088055797733217,0.814629258517034,0.7722888110671735
polymerase,cart,kmer_count,44,max_depth,3.0,2,1.0,train,0.769,0.7508090614886731,0.8290649195949971,0.6860522424839822,0.8352119602013116
polymerase,cart,kmer_count,44,max_depth,3.0,2,1.0,test,0.7478739369684843,0.729903536977492,0.7845622119815668,0.6823647294589178,0.8093393450537911
polymerase,cart,kmer_count,44,max_depth,4.0,2,1.0,train,0.78,0.7807673143996013,0.7894206549118388,0.7723016264169542,0.8563250285210635
polymerase,cart,kmer_count,44,max_depth,4.0,2,1.0,test,0.7508754377188595,0.750501002004008,0.750501002004008,0.750501002004008,0.8203890584833944
polymerase,cart,kmer_count,44,max_depth,5.0,2,1.0,train,0.783,0.7808080808080808,0.8006214396685655,0.7619517003449975,0.8692140038281435
polymerase,cart,kmer_count,44,max_depth,5.0,2,1.0,test,0.7508754377188595,0.7479757085020243,0.7556237218813906,0.7404809619238477,0.8227841076178534
polymerase,cart,kmer_count,44,max_depth,6.0,2,1.0,train,0.78825,0.7911220715166462,0.7917077986179665,0.7905372104484968,0.8793382847152527
polymerase,cart,kmer_count,44,max_depth,6.0,2,1.0,test,0.7518759379689844,0.7549407114624506,0.7446393762183235,0.7655310621242485,0.8264914228372264
polymerase,cart,kmer_count,45,max_depth,1.0,2,1.0,train,0.74425,0.7398932112890922,0.7670005271481286,0.7146365422396856,0.6933766046171548
polymerase,cart,kmer_count,45,max_depth,1.0,2,1.0,test,0.7318659329664833,0.7242798353909465,0.7441860465116279,0.7054108216432866,0.6720304272936207
polymerase,cart,kmer_count,45,max_depth,2.0,2,1.0,train,0.7705,0.7784749034749034,0.7651802656546489,0.7922396856581533,0.7913482688689978
polymerase,cart,kmer_count,45,max_depth,2.0,2,1.0,test,0.7488744372186094,0.7548828125,0.7361904761904762,0.7745490981963928,0.7645016551388909
polymerase,cart,kmer_count,45,max_depth,3.0,2,1.0,train,0.77375,0.7567858102660575,0.8356083086053413,0.6915520628683693,0.8376900973608606
polymerase,cart,kmer_count,45,max_depth,3.0,2,1.0,test,0.7518759379689844,0.7307274701411509,0.79739336492891,0.6743486973947895,0.8130596993535214
polymerase,cart,kmer_count,45,max_depth,4.0,2,1.0,train,0.78425,0.7785476007185014,0.815153143471252,0.7450884086444007,0.8598064700327015
polymerase,cart,kmer_count,45,max_depth,4.0,2,1.0,test,0.7548774387193596,0.745057232049948,0.7748917748917749,0.717434869739479,0.8222646639141055
