dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,oc1,identity,43,max_depth,1.0,50,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,oc1,identity,43,max_depth,2.0,50,1.0,train,0.80925,0.8279594137542278,0.7724021876314683,0.892128279883382,0.7872188693199978
polymerase,oc1,identity,43,max_depth,2.0,50,1.0,test,0.7898949474737369,0.8090909090909091,0.740432612312812,0.8917835671342685,0.766339862738838
polymerase,oc1,identity,43,max_depth,3.0,50,1.0,train,0.84775,0.8555845387716386,0.8355720240852247,0.8765792031098154,0.843938473187531
polymerase,oc1,identity,43,max_depth,3.0,50,1.0,test,0.8329164582291145,0.8394230769230769,0.8068391866913124,0.874749498997996,0.8301901353713808
polymerase,oc1,identity,43,max_depth,4.0,50,1.0,train,0.8625,0.867533718689788,0.8600764087870105,0.8751214771622935,0.8777539691120729
polymerase,oc1,identity,43,max_depth,4.0,50,1.0,test,0.8414207103551776,0.8445316331535067,0.8270893371757925,0.8627254509018036,0.8588535805896831
polymerase,oc1,identity,43,max_depth,5.0,50,1.0,train,0.876,0.8758137205808713,0.9034090909090909,0.8498542274052479,0.8993449242442689
polymerase,oc1,identity,43,max_depth,5.0,50,1.0,test,0.8444222111055528,0.8412455334354262,0.8574401664932362,0.8256513026052105,0.8716025320221482
polymerase,oc1,identity,43,max_depth,6.0,50,1.0,train,0.89625,0.901072705601907,0.8844174075807206,0.9183673469387755,0.9341108288935914
polymerase,oc1,identity,43,max_depth,6.0,50,1.0,test,0.8379189594797398,0.8424124513618677,0.8185255198487713,0.8677354709418837,0.8730154039964737
polymerase,oc1,identity,44,max_depth,1.0,50,1.0,train,0.757,0.7530487804878049,0.7771368641845832,0.7304090685066535,0.704377813071243
polymerase,oc1,identity,44,max_depth,1.0,50,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,oc1,identity,44,max_depth,2.0,50,1.0,train,0.812,0.8262476894639557,0.7777294475859069,0.8812222769837358,0.77559593253686
polymerase,oc1,identity,44,max_depth,2.0,50,1.0,test,0.7928964482241121,0.8088642659279779,0.75,0.8777555110220441,0.7642593181641311
polymerase,oc1,identity,44,max_depth,3.0,50,1.0,train,0.84525,0.8502298572465521,0.8350760456273765,0.865943814687038,0.8380003156342911
polymerase,oc1,identity,44,max_depth,3.0,50,1.0,test,0.8344172086043021,0.8386153096050707,0.8167141500474834,0.8617234468937875,0.8348337408761544
polymerase,oc1,identity,44,max_depth,4.0,50,1.0,train,0.85975,0.8664603665793859,0.8379373848987108,0.8969935929029078,0.8774093272268448
polymerase,oc1,identity,44,max_depth,4.0,50,1.0,test,0.822911455727864,0.829971181556196,0.7970479704797048,0.8657314629258517,0.8586085996778803
polymerase,oc1,identity,44,max_depth,5.0,50,1.0,train,0.8835,0.885728298185385,0.8814055636896047,0.89009364218827,0.9083751116231109
