accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.8852777777777778,0.8954165611547227,0.8335690711928335,0.9671772428884027,0.9612512483935508,True,train,LitTransformer_polymerase,42
0.8759379689844923,0.8862385321100917,0.817258883248731,0.9679358717434869,0.9414277290461369,False,test,LitTransformer_polymerase,42
0.9161111111111111,0.920021186440678,0.9028066528066528,0.9379049676025918,0.9652025440111548,True,train,LitTransformer_polymerase,43
0.8929464732366184,0.8960155490767736,0.869811320754717,0.9238476953907816,0.9416292404894556,False,test,LitTransformer_polymerase,43
0.8925,0.8996629504796474,0.8542589857213195,0.9501642935377875,0.9626534094094806,True,train,LitTransformer_polymerase,44
0.8729364682341171,0.8809746954076851,0.8274647887323944,0.9418837675350702,0.9440205267477354,False,test,LitTransformer_polymerase,44
0.9091666666666667,0.9115977291159773,0.9030530262453134,0.9203056768558951,0.9637649565925782,True,train,LitTransformer_polymerase,45
0.887943971985993,0.8884462151394422,0.8831683168316832,0.8937875751503006,0.9431650315592288,False,test,LitTransformer_polymerase,45
0.8786111111111111,0.891536361379995,0.8253676470588235,0.9692390717754992,0.9607641788264922,True,train,LitTransformer_polymerase,46
0.8509254627313657,0.8663677130044843,0.7840909090909091,0.9679358717434869,0.9388134716444135,False,test,LitTransformer_polymerase,46
