accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.9694444444444444,0.9707446808510638,0.9446169772256728,0.9983588621444202,0.9987454386790263,True,train,LitConvolutionalNetwork_polymerase,42
0.8689344672336168,0.87847866419295,0.8177892918825561,0.9488977955911824,0.9409707947355103,False,test,LitConvolutionalNetwork_polymerase,42
0.9891666666666666,0.989558232931727,0.9814126394052045,0.9978401727861771,0.9972206882920799,True,train,LitConvolutionalNetwork_polymerase,43
0.8784392196098049,0.8828915662650603,0.8505106778087279,0.9178356713426854,0.9336190819868572,False,test,LitConvolutionalNetwork_polymerase,43
0.9683333333333334,0.9695350080171031,0.9467640918580376,0.9934282584884995,0.9944271357088953,True,train,LitConvolutionalNetwork_polymerase,44
0.864432216108054,0.8728296574378226,0.8208296557811121,0.9318637274549099,0.9327444193908584,False,test,LitConvolutionalNetwork_polymerase,44
0.9688888888888889,0.9698762775685853,0.9559915164369035,0.9841703056768559,0.9945579825632777,True,train,LitConvolutionalNetwork_polymerase,45
0.8584292146073037,0.8637457871930669,0.8313253012048193,0.8987975951903807,0.9248391950997061,False,test,LitConvolutionalNetwork_polymerase,45
0.985,0.9854682454251884,0.9828234031132582,0.9881273610361576,0.9945097968975078,True,train,LitConvolutionalNetwork_polymerase,46
0.8689344672336168,0.8708086785009862,0.8572815533980582,0.8847695390781564,0.9315551292339359,False,test,LitConvolutionalNetwork_polymerase,46
