dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,xgboost,kmer_count,44,max_depth,3.0,2,1.0,test,0.7618809404702351,0.7648221343873518,0.7543859649122807,0.7755511022044088,0.851488407176571
polymerase,xgboost,kmer_count,44,max_depth,4.0,2,1.0,train,0.83925,0.8402484472049689,0.8471943887775552,0.8334154756037457,0.9212467855178182
polymerase,xgboost,kmer_count,44,max_depth,4.0,2,1.0,test,0.7638819409704852,0.7663366336633664,0.7573385518590998,0.7755511022044088,0.851094551317568
polymerase,xgboost,kmer_count,44,max_depth,5.0,2,1.0,train,0.848,0.8484546360917248,0.8582955118507312,0.838836865450961,0.9283445210053385
polymerase,xgboost,kmer_count,44,max_depth,5.0,2,1.0,test,0.7578789394697348,0.7584830339321357,0.7554671968190855,0.7615230460921844,0.8499705193907758
polymerase,xgboost,kmer_count,44,max_depth,6.0,2,1.0,train,0.857,0.8581349206349206,0.8637044433349975,0.8526367668802366,0.9340618604076448
polymerase,xgboost,kmer_count,44,max_depth,6.0,2,1.0,test,0.7633816908454227,0.7624309392265194,0.7643504531722054,0.7605210420841684,0.8466153164760235
polymerase,xgboost,kmer_count,45,max_depth,1.0,2,1.0,train,0.79075,0.793180133432172,0.7981103928393833,0.7883104125736738,0.8850472295213879
polymerase,xgboost,kmer_count,45,max_depth,1.0,2,1.0,test,0.7628814407203601,0.7658102766798419,0.7553606237816765,0.7765531062124249,0.8539426399430383
polymerase,xgboost,kmer_count,45,max_depth,2.0,2,1.0,train,0.805,0.8079763663220089,0.8099703849950641,0.805992141453831,0.900170521956726
polymerase,xgboost,kmer_count,45,max_depth,2.0,2,1.0,test,0.7638819409704852,0.7661050545094152,0.7578431372549019,0.7745490981963928,0.8533894152755531
polymerase,xgboost,kmer_count,45,max_depth,3.0,2,1.0,train,0.82425,0.8261192184021766,0.8320876930742401,0.8202357563850687,0.9148792429822753
polymerase,xgboost,kmer_count,45,max_depth,3.0,2,1.0,test,0.7588794397198599,0.7604373757455268,0.7544378698224852,0.7665330661322646,0.8519234061668197
polymerase,xgboost,kmer_count,45,max_depth,4.0,2,1.0,train,0.8375,0.8379052369077307,0.851063829787234,0.825147347740668,0.9258361364433414
polymerase,xgboost,kmer_count,45,max_depth,4.0,2,1.0,test,0.7603801900950475,0.7594173782019086,0.7613293051359517,0.7575150300601202,0.8528920798696167
polymerase,xgboost,kmer_count,45,max_depth,5.0,2,1.0,train,0.8495,0.8507684680218146,0.8588588588588588,0.8428290766208252,0.9320641037631443
polymerase,xgboost,kmer_count,45,max_depth,5.0,2,1.0,test,0.7628814407203601,0.7632367632367633,0.7609561752988048,0.7655310621242485,0.8516458016170814
polymerase,xgboost,kmer_count,45,max_depth,6.0,2,1.0,train,0.8565,0.8577799801783944,0.8655,0.850196463654224,0.937399211439731
polymerase,xgboost,kmer_count,45,max_depth,6.0,2,1.0,test,0.7623811905952976,0.762855716425362,0.7601990049751244,0.7655310621242485,0.8516509763041968
polymerase,xgboost,kmer_count,46,max_depth,1.0,2,1.0,train,0.79025,0.7956151035322777,0.7981427174975562,0.7931034482758621,0.8816940048495098
polymerase,xgboost,kmer_count,46,max_depth,1.0,2,1.0,test,0.7588794397198599,0.7646484375,0.7457142857142857,0.7845691382765531,0.8582125077909669
polymerase,xgboost,kmer_count,46,max_depth,2.0,2,1.0,train,0.80325,0.8088413893611853,0.8090379008746356,0.8086449732880039,0.8991519557436429
polymerase,xgboost,kmer_count,46,max_depth,2.0,2,1.0,test,0.7578789394697348,0.763671875,0.7447619047619047,0.7835671342685371,0.8543058551730094
polymerase,xgboost,kmer_count,46,max_depth,3.0,2,1.0,train,0.81875,0.8223474638568978,0.8298714144411474,0.8149587178241865,0.9132324033031239
polymerase,xgboost,kmer_count,46,max_depth,3.0,2,1.0,test,0.7633816908454227,0.7664197530864197,0.7555988315481986,0.7775551102204409,0.8539221077308594
polymerase,xgboost,kmer_count,46,max_depth,4.0,2,1.0,train,0.83525,0.838757034499633,0.8451676528599605,0.832442933462846,0.9250343514338649
polymerase,xgboost,kmer_count,46,max_depth,4.0,2,1.0,test,0.7603801900950475,0.7639231148348941,0.7516973811833172,0.7765531062124249,0.8506417494854313
polymerase,xgboost,kmer_count,46,max_depth,5.0,2,1.0,train,0.8495,0.853170731707317,0.8569328760411563,0.8494414764448761,0.933809991324861
polymerase,xgboost,kmer_count,46,max_depth,5.0,2,1.0,test,0.7553776888444222,0.7604115629593337,0.7440076701821668,0.7775551102204409,0.8459717198241324
polymerase,xgboost,kmer_count,46,max_depth,6.0,2,1.0,train,0.85375,0.857212594581401,0.8616290480863592,0.8528411850412821,0.9362070537731599
polymerase,xgboost,kmer_count,46,max_depth,6.0,2,1.0,test,0.7583791895947974,0.7598209845847836,0.7541954590325765,0.7655310621242485,0.8469670531334355
