depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
1,0.76725,0.6997753991819498,0.7877820834283109,0.733446519524618,0.8508124076809453,True,original,42
1,0.7648824412206103,0.6915388290030664,0.7838086476540939,0.7244897959183674,0.8537074148296593,False,original,42
2,0.85725,0.8677053540820965,0.8539268355078025,0.8887113951011715,0.8217626784835057,True,original,42
2,0.8509254627313657,0.8562250490539662,0.8467078189300411,0.8699788583509513,0.8246492985971944,False,original,42
3,0.873,0.9058921107681965,0.8808071328015017,0.841326759300762,0.9241752831117676,True,original,42
3,0.8579289644822411,0.8981449753112976,0.8660377358490566,0.8181818181818182,0.9198396793587175,False,original,42
4,0.88375,0.9259746315235766,0.8857213074465471,0.8842001962708538,0.8872476612506155,True,original,42
4,0.8749374687343672,0.9113550572142219,0.8757455268389662,0.868836291913215,0.8827655310621243,False,original,42
5,0.891,0.9486509954842464,0.8939688715953308,0.8832292167227295,0.9049729197439685,True,original,42
5,0.8754377188594297,0.9200021913663421,0.8776412776412776,0.8611378977820636,0.8947895791583166,False,original,42
6,0.8925,0.9592822850970306,0.8969813128893148,0.8735417638824078,0.9217134416543574,True,original,42
6,0.8704352176088044,0.9165210860310501,0.8748187530207829,0.8450046685340803,0.906813627254509,False,original,42
7,0.8925,0.9639002738662964,0.8969813128893148,0.8735417638824078,0.9217134416543574,True,original,42
7,0.8704352176088044,0.9078153165152395,0.8748187530207829,0.8450046685340803,0.906813627254509,False,original,42
8,0.8925,0.9664014577751658,0.8969813128893148,0.8735417638824078,0.9217134416543574,True,original,42
8,0.8704352176088044,0.9121087617156018,0.8748187530207829,0.8450046685340803,0.906813627254509,False,original,42
9,0.8925,0.9673852248249535,0.8969813128893148,0.8735417638824078,0.9217134416543574,True,original,42
9,0.8704352176088044,0.9118862241087786,0.8748187530207829,0.8450046685340803,0.906813627254509,False,original,42
10,0.8925,0.9678511954543367,0.8969813128893148,0.8735417638824078,0.9217134416543574,True,original,42
10,0.8704352176088044,0.9146204502561013,0.8748187530207829,0.8450046685340803,0.906813627254509,False,original,42
1,0.77175,0.7034516065654214,0.80121924667973,0.7258382642998028,0.8940719144800777,True,original,43
1,0.7573786893446723,0.6798940705046737,0.7871873628784555,0.7002341920374707,0.8987975951903807,False,original,43
2,0.8225,0.803866670205936,0.8374542124542125,0.7917748917748918,0.8887269193391643,True,original,43
2,0.8104052026013007,0.7823877406432718,0.8236389018147976,0.7688966116420504,0.8867735470941884,False,original,43
3,0.87675,0.8898169849858484,0.8808891036482243,0.8760211436809227,0.8858114674441205,True,original,43
3,0.8509254627313657,0.8640153218593646,0.8542074363992173,0.8346080305927343,0.874749498997996,False,original,43
4,0.89675,0.9275052283004854,0.901736854627647,0.8834498834498834,0.9207968901846453,True,original,43
4,0.8669334667333667,0.8916369768600261,0.8701171875,0.8485714285714285,0.8927855711422845,False,original,43
5,0.8995,0.9407130985686583,0.902046783625731,0.9046920821114369,0.8994169096209913,True,original,43
5,0.8684342171085543,0.89964691724461,0.8688279301745636,0.8649453823237339,0.872745490981964,False,original,43
6,0.90025,0.9566280346285657,0.9038322487346349,0.896700143472023,0.9110787172011662,True,original,43
6,0.8649324662331166,0.9010634616286111,0.8671259842519685,0.8520309477756286,0.8827655310621243,False,original,43
7,0.90025,0.9636023333065074,0.9038322487346349,0.896700143472023,0.9110787172011662,True,original,43
7,0.8649324662331166,0.9073020763059791,0.8671259842519685,0.8520309477756286,0.8827655310621243,False,original,43
8,0.903,0.9692382986533221,0.9053196681307956,0.9093137254901961,0.9013605442176871,True,original,43
8,0.8584292146073037,0.9108273829758227,0.8585707146426786,0.8564307078763709,0.8607214428857716,False,original,43
9,0.903,0.9715307998766756,0.9053196681307956,0.9093137254901961,0.9013605442176871,True,original,43
9,0.8584292146073037,0.9010170377300806,0.8585707146426786,0.8564307078763709,0.8607214428857716,False,original,43
10,0.903,0.9721555738298654,0.9053196681307956,0.9093137254901961,0.9013605442176871,True,original,43
10,0.8584292146073037,0.9025597394663112,0.8585707146426786,0.8564307078763709,0.8607214428857716,False,original,43
1,0.7675,0.7000277703979452,0.7872827081427265,0.7345283824157064,0.8482010842779695,True,original,44
1,0.7648824412206103,0.6915388290030664,0.7838086476540939,0.7244897959183674,0.8537074148296593,False,original,44
2,0.83425,0.7690567187153974,0.8519758874748827,0.7787755102040816,0.9403647116806308,True,original,44
2,0.8224112056028015,0.7546910340357527,0.8414470745868692,0.7590652699435939,0.9438877755511023,False,original,44
3,0.8775,0.8441136548207373,0.8844884488448845,0.8477180298237686,0.9245933957614588,True,original,44
3,0.8579289644822411,0.815517444102354,0.8661639962299718,0.8176156583629893,0.9208416833667334,False,original,44
4,0.87925,0.8977617083855389,0.8885298869143781,0.8355034722222222,0.948743223262691,True,original,44
4,0.8509254627313657,0.8759537908636665,0.8624192059095106,0.7996575342465754,0.935871743486974,False,original,44
5,0.8875,0.9329279834211442,0.8900830483634588,0.8823244552058112,0.8979793001478561,True,original,44
5,0.8724362181090545,0.8992355160521501,0.8745696015740285,0.8589371980676328,0.8907815631262525,False,original,44
6,0.896,0.9467271089630048,0.9004784688995215,0.8749418874941888,0.9275505174963036,True,original,44
6,0.8734367183591796,0.9133319502341788,0.8786570743405275,0.8426862925482981,0.9178356713426854,False,original,44
7,0.898,0.9551148688109716,0.9013062409288825,0.8850356294536817,0.9181862986692952,True,original,44
7,0.8704352176088044,0.9156946986351648,0.8744546776539021,0.8469483568075117,0.9038076152304609,False,original,44
8,0.898,0.9609997161164222,0.9013062409288825,0.8850356294536817,0.9181862986692952,True,original,44
8,0.8704352176088044,0.9134124018514742,0.8744546776539021,0.8469483568075117,0.9038076152304609,False,original,44
9,0.898,0.9657192641892047,0.9013062409288825,0.8850356294536817,0.9181862986692952,True,original,44
9,0.8704352176088044,0.9140223039710198,0.8744546776539021,0.8469483568075117,0.9038076152304609,False,original,44
10,0.898,0.9681328505779206,0.9013062409288825,0.8850356294536817,0.9181862986692952,True,original,44
10,0.8704352176088044,0.9130043831877452,0.8744546776539021,0.8469483568075117,0.9038076152304609,False,original,44
1,0.774,0.7024732337792547,0.8014059753954306,0.724960254372019,0.8958742632612967,True,original,45
1,0.7573786893446723,0.6798940705046737,0.7871873628784555,0.7002341920374707,0.8987975951903807,False,original,45
2,0.8485,0.8193103887537596,0.8539054966248795,0.8385416666666666,0.8698428290766208,True,original,45
2,0.8424212106053026,0.8015844189854647,0.8465660009741841,0.8236966824644549,0.8707414829659319,False,original,45
3,0.8785,0.8775218535357324,0.8800592300098716,0.8844246031746031,0.8757367387033399,True,original,45
3,0.8769384692346173,0.8654179608818716,0.876629889669007,0.8775100401606426,0.875751503006012,False,original,45
4,0.8885,0.9056357643277813,0.8949599623174753,0.8597285067873304,0.9332023575638507,True,original,45
4,0.8684342171085543,0.8943813578103685,0.8732530120481927,0.841225626740947,0.9078156312625251,False,original,45
5,0.8975,0.93036158529646,0.8987654320987655,0.9036742800397219,0.8939096267190569,True,original,45
5,0.8764382191095548,0.9054358456833258,0.8750632271117855,0.8835546475995915,0.8667334669338678,False,original,45
6,0.90125,0.9474542981927523,0.9037758830694276,0.8965683905268246,0.9111001964636543,True,original,45
6,0.8774387193596799,0.9148132003730154,0.8781700646444555,0.8716683119447186,0.8847695390781564,False,original,45
7,0.90125,0.9568699549409553,0.9037758830694276,0.8965683905268246,0.9111001964636543,True,original,45
7,0.8774387193596799,0.918266102578233,0.8781700646444555,0.8716683119447186,0.8847695390781564,False,original,45
8,0.90125,0.9636555851519027,0.9037758830694276,0.8965683905268246,0.9111001964636543,True,original,45
8,0.8774387193596799,0.9196546844782454,0.8781700646444555,0.8716683119447186,0.8847695390781564,False,original,45
9,0.90125,0.9669660972817957,0.9037758830694276,0.8965683905268246,0.9111001964636543,True,original,45
9,0.8774387193596799,0.9205343759857545,0.8781700646444555,0.8716683119447186,0.8847695390781564,False,original,45
10,0.90125,0.967730529643061,0.9037758830694276,0.8965683905268246,0.9111001964636543,True,original,45
10,0.8774387193596799,0.9221064529678578,0.8781700646444555,0.8716683119447186,0.8847695390781564,False,original,45
1,0.764,0.7178357151561472,0.7628140703517587,0.7902134305049453,0.7372510927634774,True,original,46
1,0.7633816908454227,0.700725374016199,0.7626693426994481,0.7638190954773869,0.7615230460921844,False,original,46
2,0.81575,0.8203356628535428,0.8339716152286551,0.7777310924369748,0.8989800874210782,True,original,46
2,0.7908954477238619,0.7902788622281642,0.8112014453477868,0.7384868421052632,0.8997995991983968,False,original,46
3,0.8565,0.8853242818031625,0.867680958967266,0.8258007898200965,0.9140359397765906,True,original,46
3,0.8374187093546773,0.8706709762862515,0.8480598410472183,0.7949167397020158,0.908817635270541,False,original,46
4,0.887,0.9193411060311971,0.8941947565543071,0.8630817894261184,0.9276347741622146,True,original,46
4,0.8529264632316158,0.8944553864062804,0.8598665395614872,0.82,0.9038076152304609,False,original,46
5,0.88925,0.9410120020724787,0.8915544675642595,0.8988153998025666,0.8844099077221952,True,original,46
5,0.8589294647323662,0.9046962578261117,0.8587174348697395,0.8587174348697395,0.8587174348697395,False,original,46
6,0.89975,0.955119346832171,0.9015467714215566,0.9116186693147964,0.8916949975716367,True,original,46
6,0.8609304652326163,0.9158464135700355,0.8604417670682731,0.8621730382293763,0.8587174348697395,False,original,46
7,0.89975,0.9646919715600112,0.9015467714215566,0.9116186693147964,0.8916949975716367,True,original,46
7,0.8609304652326163,0.9181300706426871,0.8604417670682731,0.8621730382293763,0.8587174348697395,False,original,46
8,0.90375,0.9698517535686676,0.905521472392638,0.9151785714285714,0.8960660514813016,True,original,46
8,0.8629314657328664,0.9083650538805099,0.8623115577889447,0.8649193548387096,0.8597194388777555,False,original,46
9,0.90375,0.971010852343885,0.905521472392638,0.9151785714285714,0.8960660514813016,True,original,46
9,0.8629314657328664,0.9121106991861805,0.8623115577889447,0.8649193548387096,0.8597194388777555,False,original,46
10,0.90375,0.9710788487693403,0.905521472392638,0.9151785714285714,0.8960660514813016,True,original,46
10,0.8629314657328664,0.9097680651549699,0.8623115577889447,0.8649193548387096,0.8597194388777555,False,original,46
