depth,DEFT_train_mean,DEFT_train_std,DEFT_perf_train_mean,DEFT_perf_train_std,DEFT_test_mean,DEFT_test_std,DEFT_perf_test_mean,DEFT_perf_test_std
1,0.7689,0.003963111151608052,0.82005,0.012456674917489021,0.7615807903951977,0.003884596029678283,0.8095047523761881,0.012085985045363809
2,0.83565,0.017339081578907206,0.8721,0.020422567174574295,0.8234117058529264,0.02421696336660256,0.8552276138069035,0.014134168697914312
3,0.87245,0.009155599379614594,0.8926999999999999,0.005740209055426491,0.8562281140570285,0.014288250524978152,0.8673336668334167,0.007157249011097324
