depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
1,0.80925,0.7504457371235038,0.8164541736829445,0.7982126058325494,0.8355489906450024,True,DEFT_perf,42
1,0.7968984492246123,0.7313017351573703,0.8023369036027264,0.7803030303030303,0.8256513026052105,False,DEFT_perf,42
2,0.87725,0.8604551441469204,0.8809119573126364,0.8680688336520076,0.8941408173313639,True,DEFT_perf,42
2,0.8694347173586794,0.8457147705543117,0.8714918759231906,0.856727976766699,0.8867735470941884,False,DEFT_perf,42
3,0.896,0.8983002169255392,0.8997590361445783,0.8810759792354884,0.9192516001969473,True,DEFT_perf,42
3,0.8759379689844923,0.8711075622863275,0.8785504407443683,0.8591954022988506,0.8987975951903807,False,DEFT_perf,42
1,0.82125,0.7619453432356311,0.8343757238823257,0.7972554227534308,0.8751214771622935,True,DEFT_perf,43
1,0.7968984492246123,0.7261597402423754,0.8088512241054614,0.7628774422735346,0.8607214428857716,False,DEFT_perf,43
2,0.89475,0.8694769259489666,0.8996902549440077,0.8826554464703132,0.9173955296404276,True,DEFT_perf,43
2,0.8669334667333667,0.8311355142666588,0.8704965920155794,0.8465909090909091,0.8957915831663327,False,DEFT_perf,43
3,0.9,0.9237749301572901,0.9045801526717557,0.8884723523898782,0.9212827988338192,True,DEFT_perf,43
3,0.8654327163581791,0.8894005691218853,0.8688444661140907,0.8461538461538461,0.8927855711422845,False,DEFT_perf,43
1,0.817,0.769554598337166,0.8144016227180527,0.8386422976501305,0.7915229176934451,True,DEFT_perf,44
1,0.8144072036018009,0.7579203244292101,0.8119614799797263,0.8215384615384616,0.8026052104208417,False,DEFT_perf,44
2,0.857,0.8707619789689912,0.8672853828306265,0.8193774660236738,0.92114342040414,True,DEFT_perf,44
2,0.8384192096048024,0.8569950924247052,0.8498372849837285,0.792714657415438,0.9158316633266533,False,DEFT_perf,44
3,0.888,0.9150968750676196,0.8919961427193829,0.8730533270410571,0.9117792015771315,True,DEFT_perf,44
3,0.8629314657328664,0.8894878536676805,0.8673765730880929,0.8389513108614233,0.8977955911823647,False,DEFT_perf,44
1,0.84075,0.7828497255353296,0.8490878938640133,0.820137299771167,0.8801571709233792,True,DEFT_perf,45
1,0.8239119559779889,0.757807941733893,0.8312559923298178,0.796875,0.8687374749498998,False,DEFT_perf,45
2,0.886,0.858229204523231,0.8874629812438302,0.8918650793650794,0.8831041257367387,True,DEFT_perf,45
2,0.8589294647323662,0.8274446953290787,0.858433734939759,0.8601609657947686,0.8567134268537074,False,DEFT_perf,45
3,0.886,0.9186690573129483,0.8874629812438302,0.8918650793650794,0.8831041257367387,True,DEFT_perf,45
3,0.8589294647323662,0.8753862276049975,0.858433734939759,0.8601609657947686,0.8567134268537074,False,DEFT_perf,45
1,0.812,0.7757443163406387,0.8064848172928462,0.8576902025177887,0.7610490529383196,True,DEFT_perf,46
1,0.815407703851926,0.7631755861419566,0.8093023255813954,0.8356456776947705,0.7845691382765531,False,DEFT_perf,46
2,0.8455,0.8744220008521569,0.8603074141048824,0.8046511627906977,0.9242350655658087,True,DEFT_perf,46
2,0.8424212106053026,0.866610129988582,0.8549055734684478,0.7911338448422848,0.9298597194388778,False,DEFT_perf,46
3,0.8935,0.9139882281488465,0.8997175141242938,0.8730013704888077,0.9281204468188441,True,DEFT_perf,46
3,0.8734367183591796,0.8872273554420922,0.8790052606408417,0.8408051235132662,0.9208416833667334,False,DEFT_perf,46
