accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.9268124439539215,0.9239699032604801,0.9613778705636743,0.8893640502138226,0.9845718430014265,True,train,LitConvolutionalNetwork_mpra_enhancers,42
0.7553191489361702,0.8198433420365535,0.9631901840490797,0.7136363636363636,0.9582687978524893,False,test,LitConvolutionalNetwork_mpra_enhancers,42
0.8741808650065531,0.8874074074074074,0.8030387666182549,0.9915850462132708,0.9910043096131497,True,train,LitConvolutionalNetwork_mpra_enhancers,43
0.8865248226950354,0.9295154185022027,0.9017094017094017,0.9590909090909091,0.9697244712265989,False,test,LitConvolutionalNetwork_mpra_enhancers,43
0.9251569290197972,0.9195521613405502,0.9940686117345303,0.8554283349427507,0.9967713264550103,True,train,LitConvolutionalNetwork_mpra_enhancers,44
0.7127659574468085,0.779291553133515,0.9727891156462585,0.65,0.9617629376944064,False,test,LitConvolutionalNetwork_mpra_enhancers,44
0.9549561978340346,0.9551664950223138,0.950662839961733,0.9597130242825607,0.9914207692932165,True,train,LitConvolutionalNetwork_mpra_enhancers,45
0.8120567375886525,0.8704156479217604,0.9417989417989417,0.8090909090909091,0.9705027115679417,False,test,LitConvolutionalNetwork_mpra_enhancers,45
0.9628198937711251,0.9628966751566049,0.9608462700920456,0.9649558498896247,0.9932299721498556,True,train,LitConvolutionalNetwork_mpra_enhancers,46
0.7836879432624113,0.8486352357320099,0.9344262295081968,0.7772727272727272,0.9586607205223061,False,test,LitConvolutionalNetwork_mpra_enhancers,46
