accuracy,f1,precision,recall,auprc,isTrain,split,method,random_seed
0.7384286404083603,0.6938973199870843,0.8363494843354738,0.592909366809215,0.8346427201863356,True,train,LitTransformer_mpra_enhancers,42
0.7304964539007093,0.7978723404255319,0.9615384615384616,0.6818181818181818,0.9579979119303752,False,test,LitTransformer_mpra_enhancers,42
0.7378078223080637,0.7049142147348808,0.8061079545454546,0.6262932818319769,0.8329122411547445,True,train,LitTransformer_mpra_enhancers,43
0.7588652482269503,0.8247422680412371,0.9523809523809523,0.7272727272727273,0.9593071740700911,False,test,LitTransformer_mpra_enhancers,43
0.7253224805132096,0.6805711535376223,0.8131109833237493,0.5851841633328735,0.8200060592096425,True,train,LitTransformer_mpra_enhancers,44
0.6843971631205674,0.7534626038781164,0.9645390070921985,0.6181818181818182,0.9503475404960755,False,test,LitTransformer_mpra_enhancers,44
0.7178036835207284,0.6697343989666585,0.8071609262502433,0.5722958057395143,0.8147691689778127,True,train,LitTransformer_mpra_enhancers,45
0.6418439716312057,0.7122507122507122,0.9541984732824428,0.5681818181818182,0.9406522179837742,False,test,LitTransformer_mpra_enhancers,45
0.7369800648410015,0.6831214161057093,0.8589341692789969,0.5670529801324503,0.8347424370661165,True,train,LitTransformer_mpra_enhancers,46
0.7021276595744681,0.7692307692307693,0.9722222222222222,0.6363636363636364,0.9533385328644394,False,test,LitTransformer_mpra_enhancers,46
