dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
mpra_enhancers,oc1,identity,45,max_depth,1.0,20,1.0,test,0.40425531914893614,0.4084507042253521,0.90625,0.2636363636363636,0.8133885396518374
mpra_enhancers,oc1,identity,45,max_depth,2.0,20,1.0,train,0.5202383908616837,0.6521739130434783,0.5115080485738492,0.8995530171343432,0.526142286055504
mpra_enhancers,oc1,identity,45,max_depth,2.0,20,1.0,test,0.7198581560283688,0.8343815513626834,0.77431906614786,0.9045454545454545,0.8130209028599995
mpra_enhancers,oc1,identity,45,max_depth,3.0,20,1.0,train,0.5456295008691333,0.5905912625160821,0.5374121958668431,0.6554507077228706,0.5491121962991188
mpra_enhancers,oc1,identity,45,max_depth,3.0,20,1.0,test,0.5319148936170213,0.6683417085427136,0.7471910112359551,0.6045454545454545,0.776494022013599
mpra_enhancers,oc1,identity,45,max_depth,4.0,20,1.0,train,0.549478519990067,0.6164173582113219,0.5366774045098942,0.7239880804569159,0.5587848079254304
mpra_enhancers,oc1,identity,45,max_depth,4.0,20,1.0,test,0.5709219858156028,0.7070217917675545,0.7564766839378239,0.6636363636363637,0.8002566329932537
mpra_enhancers,oc1,identity,45,max_depth,5.0,20,1.0,train,0.5690961013161162,0.5422409813361472,0.5782810521873681,0.510429600198659,0.5918584328451079
mpra_enhancers,oc1,identity,45,max_depth,5.0,20,1.0,test,0.5390070921985816,0.6306818181818182,0.8409090909090909,0.5045454545454545,0.8319328038353898
mpra_enhancers,oc1,identity,45,max_depth,6.0,20,1.0,train,0.5882791159672213,0.5749807741604717,0.5941721854304636,0.5569903153712441,0.6099781233613866
mpra_enhancers,oc1,identity,45,max_depth,6.0,20,1.0,test,0.5070921985815603,0.6084507042253521,0.8,0.4909090909090909,0.849406356967253
mpra_enhancers,oc1,identity,46,max_depth,1.0,20,1.0,train,0.5274397814750434,0.34095238095238095,0.5632151029748284,0.24447479513285325,0.5154544993490734
mpra_enhancers,oc1,identity,46,max_depth,1.0,20,1.0,test,0.40425531914893614,0.42857142857142855,0.8513513513513513,0.2863636363636364,0.8005336574485511
mpra_enhancers,oc1,identity,46,max_depth,2.0,20,1.0,train,0.5410355103054383,0.47748957523499896,0.5542247744052502,0.4194189222746461,0.5340821641630293
mpra_enhancers,oc1,identity,46,max_depth,2.0,20,1.0,test,0.44680851063829785,0.5272727272727272,0.7909090909090909,0.39545454545454545,0.7839521423128772
mpra_enhancers,oc1,identity,46,max_depth,3.0,20,1.0,train,0.5571765582319345,0.5288950531668978,0.5649781289685339,0.4971442761360815,0.5633733006313388
mpra_enhancers,oc1,identity,46,max_depth,3.0,20,1.0,test,0.5141843971631206,0.6028985507246377,0.832,0.4727272727272727,0.8419534967939819
mpra_enhancers,oc1,identity,46,max_depth,4.0,20,1.0,train,0.565867891730817,0.47582639982010344,0.6003404577264989,0.3940898932207599,0.5793372450468316
mpra_enhancers,oc1,identity,46,max_depth,4.0,20,1.0,test,0.4326241134751773,0.4838709677419355,0.8333333333333334,0.3409090909090909,0.81802025770825
mpra_enhancers,oc1,identity,46,max_depth,5.0,20,1.0,train,0.5857337968711199,0.5960409225740056,0.5815711754282339,0.6112490687856965,0.607155020485464
mpra_enhancers,oc1,identity,46,max_depth,5.0,20,1.0,test,0.5425531914893617,0.6541554959785523,0.7973856209150327,0.5545454545454546,0.812015804821604
mpra_enhancers,oc1,identity,46,max_depth,6.0,20,1.0,train,0.5965358827911597,0.5701435280111119,0.6100495399858458,0.5351378197169109,0.6241070103466122
mpra_enhancers,oc1,identity,46,max_depth,6.0,20,1.0,test,0.46808510638297873,0.5535714285714286,0.8017241379310345,0.42272727272727273,0.8265275543731321
